character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
說,,,shuō,"speak, say, talk; scold, upbraid",,5011
劭,,,shào,encourage; to excel; excellent,,5012
哐,,,kuāng,syllable,,5013
崧,,,sōng,"high mountain; lofty, eminent",,5014
杼,,,zhù,shuttle of loom; narrow; long-headed; a scrub oak; thin,,5015
棂,欞,欞,líng,carved or patterned window sills,,5016
螫,,,shì,poison; sting; poisonous insect,,5017
龃,齟,齟,jǔ,irregular teeth; discord,,5018
饔,,,yōng,breakfast; eat prepared food,,5019
遑,,,huáng,"leisure, leisurely; hurry about",,5020
颢,顥,顥,hào,"luminous; white, hoary",,5021
腱,,,jiàn,tendons,,5022
襁,,,qiǎng,swaddling clothes,,5023
忾,愾,愾,kài,"anger, wrath, hatred, enmity",,5024
濠,,,háo,"moat, trench, ditch",,5025
牝,,,pìn,female of species; deep gorge,,5026
蛄,,,gū,mole cricket,,5027
鲆,鮃,鮃,píng,sole,,5028
嗄,,,á,hoarse of voice,,5029
灏,灝,灝,hào,"vast, large, grand, expansive",,5030
疥,,,jiè,"scabies, itch",,5031
苜,,,mù,clover,,5032
荞,蕎,蕎,qiáo,buckwheat,,5033
嘣,,,bēng,syllable,,5034
夤,,,yín,distant place; remote; deep,,5035
砝,,,fá,balance weights,,5036
颞,顳,顳,niè,the temporal bone,,5037
開,,,kāi,"open; initiate, begin, start",,5038
忤,,,wǔ,"insubordinate, stubborn; wrong",,5039
遢,,,tà,"careless, negligent, slipshod",,5040
旎,,,nǐ,fluttering of flag; romantic,,5041
瘛,,,chì,,,5042
魉,魎,魎,liǎng,a kind of monster,,5043
辇,輦,輦,niǎn,hand-cart; transport by carriage,,5044
見,,,jiàn,"see, observe, behold; perceive",,5045
瓤,,,ráng,"flesh, core, pulp, pith",,5046
荥,滎,滎,xíng,a county in Henan; the rising and dashing of waves,,5047
涫,,,guàn,,,5048
娌,,,lǐ,,,5049
氚,,,chuān,tritium,,5050
臁,,,lián,calf of the leg,,5051
毂,轂,轂,gǔ,hub of wheel,,5052
碇,,,dìng,anchor,,5053
毖,,,bì,"guard against, take care; caution",,5054
壅,,,yōng,to obstruct,,5055
吡,,,bǐ,blame,,5056
缛,縟,縟,rù,"decorative, adorned, elegant",,5057
玮,瑋,瑋,wěi,"type of jade; rare, valuable",,5058
羟,羥,羥,qiǎng,hydroxide,,5059
還,,,hái,"still, yet, also, besides",,5060
珈,,,jiā,,,5061
颀,頎,頎,qí,tall and slim,,5062
虼,,,gè,a flea; species of beetle,,5063
祇,,,qí,the spirit of the earth; (used for,,5064
佝,,,gōu,rickets,,5065
翕,,,xī,agree,,5066
遴,,,lín,"select, choose; surname",,5067
珏,,,jué,two pieces of jade joined together,,5068
郛,,,fú,outer walls of city; suburbs,,5069
較,,,jiào,"compare; comparatively, more",,5070
驗,,,yàn,"test, examine, inspect; verify",,5071
玖,,,jiǔ,black-colored jade,,5072
蹇,,,jiǎn,"lame, crippled; unlucky",,5073
逋,,,bū,"flee, run away, leave debt unsettled",,5074
氅,,,chǎng,overcoat; down feathers,,5075
粽,糉,糉,zòng,dumpling made of glutinous rice,,5076
