frequency_rank,character,pinyin,pinyin_alternates,common_word_1,common_word_1_pinyin,common_word_1_definition,common_word_2,common_word_2_pinyin,common_word_2_definition,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num,traditional_character,same_simp_trad,alternate_characters
939,输,shū,,,,,,,,"transport, carry, haul",車,159.9,13,4.0,2890.0,輸,False,輸
940,摇,yáo,,,,,,,,"wag, swing, wave; shake; scull",手,64.1,13,5.0,2841.0,搖,False,搖
941,招,zhāo,,,,,,,,"beckon, summon; recruit, levy",手,64.5,8,4.0,988.0,,True,
942,婚,hūn,,,,,,,,"get married; marriage, wedding",女,38.8,11,3.0,2481.0,,True,
943,脱,tuō,,,,,,,,take off,肉,130.7,11,4.0,2360.0,脫,False,脫
944,补,bǔ,,,,,,,,"mend, patch, fix, repair, restore",衣,145.2,7,5.0,888.0,補,False,補
945,谓,wèi,,,,,,,,"say, tell; call, name; be called",言,149.9,11,5.0,2466.0,謂,False,謂
946,督,dū,,,,,,,,"supervise, oversee, direct",目,109.8,13,6.0,2891.0,,True,
947,毒,dú,,,,,,,,"poison, venom; poisonous",毋,80.4,9,5.0,1362.0,,True,
948,油,yóu,,,,,,,,"oil, fat, grease, lard; paints",水,85.5,8,4.0,1248.0,,True,
949,疗,liáo,,,,,,,,"be healed, cured, recover",疒,104.2,7,5.0,834.0,療,False,療
950,旅,lǚ,,,,,,,,"trip, journey; travel; traveler",方,70.6,10,2.0,2046.0,,True,
951,泽,zé,,,,,,,,"marsh, swamp; grace, brilliance",水,85.5,8,6.0,1263.0,澤,False,澤
952,材,cái,,,,,,,,"material, stuff; timber; talent",木,75.3,7,4.0,681.0,,True,
953,灭,miè,,,,,,,,"extinguish; wipe out, exterminate",火,86.1,5,6.0,223.0,滅,False,滅
954,逐,zhú,,,,,,,,"chase, expel; one by one",辵,162.7,10,5.0,1870.0,,True,
955,莫,mò,,,,,,,,"do not, is not, can not; negative",艸,140.7,10,6.0,1824.0,,True,
956,笔,bǐ,,,,,,,,writing brush; write; stroke,竹,118.4,10,2.0,1951.0,筆,False,筆
957,亡,wáng,,,,,,,,"death, destroyed; lose, perish",亠,8.1,3,6.0,54.0,,True,
958,鲜,xiān,,,,,,,,fresh; delicious; attractive,魚,195.6,14,3.0,3135.0,鮮,False,鮮
959,词,cí,,,,,,,,"words; phrase, expression",言,149.5,7,3.0,897.0,詞,False,詞
960,圣,shèng,,,,,,,,"holy, sacred",土,32.2,5,6.0,340.0,聖,False,聖
961,择,zé,,,,,,,,"select, choose, pick out",手,64.5,8,3.0,992.0,擇,False,擇
962,寻,xún,,,,,,,,"seek, search, look for; ancient",彐,58.3,6,5.0,563.0,尋,False,尋
963,厂,chǎng,,,,,,,,"factory, workshop; radical 27",厂,27.0,2,5.0,6.0,廠,False,廠
964,睡,shuì,,,,,,,,"sleep, doze",目,109.8,13,1.0,2900.0,,True,
965,博,bó,,,,,,,,"gamble, play games; wide, broad",十,24.1,12,4.0,2521.0,,True,
966,勒,lēi,,,,,,,,"strangle, tighten",力,19.9,11,,2200.0,,True,
967,烟,yān,,,,,,,,"smoke, soot; opium; tobacco, cigarettes",火,86.6,10,4.0,2062.0,煙,False,煙
968,授,shòu,,,,,,,,"give to, transmit; confer",手,64.8,11,4.0,2177.0,,True,
969,诺,nuò,,,,,,,,"promise; assent, approve",言,149.8,10,6.0,2111.0,諾,False,諾
970,伦,lún,,,,,,,,normal human relationships,人,9.4,6,6.0,470.0,倫,False,倫
971,岸,àn,,,,,,,,"bank, shore; beach, coast",山,46.5,8,5.0,1105.0,,True,
972,奥,ào,,,,,,,,"mysterious, obscure, profound",大,37.9,12,6.0,2701.0,奧,False,奧
973,唐,táng,,,,,,,,Tang dynasty; Chinese,口,30.7,10,6.0,2037.0,,True,
974,卖,mài,,,,,,,,sell; betray; show off,十,24.6,8,2.0,1042.0,賣,False,賣
975,俄,é,,,,,,,,"sudden(ly), soon; Russian",人,9.7,9,,1564.0,,True,
976,炸,zhà,,,,,,,,to fry in oil; to scald; to explode,火,86.5,9,5.0,1656.0,,True,
977,载,zài,,,,,,,,"load; carry; transport, convey",戈,62.6,10,5.0,1787.0,載,False,載
978,洛,luò,,,,,,,,river in Shanxi province; city,水,85.6,9,,1676.0,,True,
979,健,jiàn,,,,,,,,"strong, robust, healthy; strength",人,9.9,10,3.0,1969.0,,True,
980,堂,táng,,,,,,,,hall; government office,土,32.8,11,6.0,2256.0,,True,
981,旁,páng,,,,,,,,"side; by side, close by, near",方,70.6,10,2.0,2045.0,,True,
